#{"t_start": 1768076610.376428, "env_id": "None"}
r,l,t
--3.79,105,0.990157--3.023,67,1.412544--4.119,71,1.860856-2.758,92,2.103333
-4.034,96,2.717832
-4.148,82,3.237463
-3.721,94,6.407318
-3.623,107,7.182448
-3.815,60,7.571032
-3.553,97,8.209698
-4.119,86,8.756771
-3.961,84,11.33443
-3.-3.938,92,12.16593-4.-2.657,78,12.67212-3.-4.207,78,13.1754-3.4-4.087,108,13.870-3.91-3.518,102,14.531-3.54-3.187,103,17.7-3.166,-3.643,72,18.23-3.755-3.824,121,19.01-3.154-4.12,85,19.551-3.911,104,19.807441
-3.3-3.828,127,22.884-3.7-3.54,100,23.52106-3.-4.119,66,23.955-4.1-3.677,108,24.638-4.00-3.564,131,25.480-3.90-3.181,89,26.0531-3.9-3.892,103,29.10-2.731-4.069,56,29.63-2.986-3.92,100,30.39522
-3.718,122,31.169446
-3.183,97,31.78372
-3.105,75,34.3443-3.8-3.833,112,35.047344
-3.822,123,35.861654
-3.17,65,36.297016
-4.112,88,36.877426
-3.315,70,37.35539-3.-3.996,109,40.32977-4.-3.145,85,41.07778--4.214,66,41.689008
-3.964,101,42.552571-2-3.815,120,43.341352-3-4.113,87,46.037813--3.982,113,46.798631-3-3.992,93,47.478598-3-3.936,104,48.174486-2-3.558,127,49.0362
-3.142,108,51.791824--4.084,106,52.640633-3-4.08,100,53.52026-3.-3.771,84,54.326875-4-3.43,105,55.067555--3.989,96,57.704329
-3.556,104,58.373018--3.491,99,59.021242
-3.698,112,59.7487
-3-3.883,97,60.017819-3-3.712,103,62.7032-4.0-4.025,70,63.1524-3.8-3.636,104,63.8184-3.6-3.724,51,64.1517-3.8-3.884,116,65.144-4.10-3.783,102,66.05-3.55-3.454,86,68.8242-3.8-3.087,98,69.46844-3.-3.423,122,70.26083-3.-3.616,79,70.77096-3.442,123,71.570552
-3.815,95,74.23597
-3.383,112,74.973522
-4.0-2.917,103,75.344-3.81-3.958,112,76.05-3.28,-3.85,110,76.9-3.634,-3.954,116,80.-3.732,1-3.509,106,80.-3.791,1-3.68,115,81.5-3.749,-3.145,110,82.-2.86,185,85.451817
-3.804,8-3.76,120,85.-3.417,103,86.665618
-2.975,-3.377,233,87.677577
-3.498,102,88.327537
-3.538,112,91.609761
-3.626,119,92.370631
-3.743,87,92.925428
-3.296,114,93.66116
-2.987,203,96.994651
-3.657,128,97.87921
-3.943,112,98.616753
-3.675,90,99.204358
-3.93,105,102.286558
-3.582,88,103.067207
-3.275,120,103.848411
-3.522,123,104.650318
-3.544,111,105.359192
-3.558,102,108.112774
-3.025,125,108.918611
-3.59,130,109.744443
-3.612,118,110.488143
-3.375,110,113.382721
-3.602,118,114.451488
-3.189,111,115.426309
-3.493,107,116.117116
-4.043,107,116.795988
-3.93,105,119.516196
-3.366,119,120.286136
-3.279,86,120.835199
-3.636,129,121.683375
-3.883,102,122.342955
-3.813,102,125.008539
-3.778,117,125.975384
-3.65,130,127.153632
-3.856,109,127.983812
-3.504,131,130.829732
-3.48,120,131.594284
-3.754,101,132.221488
-3.307,118,132.977203
-3.437,128,135.876938
-3.376,124,136.68287
-3.032,123,137.559351
-3.49,100,138.456716
-3.677,128,139.660568
-4.052,108,142.411359
-3.191,124,143.197749
-3.599,121,143.97304
-3.788,112,144.690271
-3.152,143,147.670614
-3.983,127,148.478521
-3.056,64,148.886607
-3.219,106,149.56921
-3.481,104,150.466189
-3.845,110,153.560608
-3.822,133,154.409914
-3.733,142,155.309253
-3.342,103,155.972073
-3.169,121,158.846497
-3.083,142,159.764293
-3.61,65,160.177573
-3.756,89,160.752836
-4.051,109,161.441085
-3.467,118,164.732256
-3.989,101,165.364881
-3.386,109,166.069144
-3.107,103,166.735405
-3.491,99,167.371158
-3.609,111,170.144196
-3.232,63,170.53805
-3.994,106,171.208022
-3.58,135,172.080914
-3.879,106,172.760741
-3.73,135,176.254144
-3.937,108,176.940583
-3.433,87,177.512039
-3.964,101,178.150335
-3.873,87,178.73295
-3.497,83,181.305271
-3.761,139,182.176931
-3.6,70,182.634521
-3.865,115,183.364832
-3.128,82,183.884665
-3.903,82,186.63338
-2.552,98,187.478218
-4.079,81,188.309072
-3.911,84,188.878562
-3.566,99,189.520422
-3.08,115,192.301602
