#{"t_start": 1768076610.376428, "env_id": "None"}
r,l,t
-4.081,89,192.878686
-4.062,108,193.564696
-2.812,68,194.009182
-3.466,119,194.817432
-3.629,106,197.578232
-2.474,121,198.36871
-3.55,115,199.414878
-2.424,116,200.537997
-3.861,114,201.292814
-3.584,106,204.018162
-3.152,123,204.816827
-3.538,102,205.482801
-2.643,112,206.19098
-3.962,88,206.73927
-3.292,128,209.59835
-3.572,128,210.421195
-4.012,103,211.25219
-3.567,98,212.109081
-3.441,124,215.184953
-3.568,117,215.935608
-3.639,116,216.684424
-3.782,128,217.499107
-3.256,119,220.423097
-3.803,117,221.17423
-3.053,112,221.89427
-3.613,117,222.642069
-3.596,119,223.672556
-3.35,125,226.970472
-3.807,103,227.676362
-3.619,116,228.436614
-3.437,113,229.208739
-3.433,67,229.634274
-3.64,100,232.373971
-3.633,77,232.865598
-3.607,113,233.601232
-2.95,100,234.24692
-2.827,118,235.00169
-3.486,109,238.353328
-3.886,114,239.115942
-4.099,101,239.799049
-3.764,116,240.545253
-3.682,88,241.131114
-3.922,108,243.909664
-3.581,169,244.9826
-3.567,113,245.714321
-3.66,120,246.467692
-3.773,102,249.707657
-3.887,93,250.304311
-3.634,121,251.081331
-2.509,111,251.800924
-3.902,118,254.703467
-3.048,137,255.584982
-3.232,123,256.37451
-3.272,103,257.048509
-3.542,63,257.448864
-3.237,153,260.957948
-3.531,124,262.037719
-3.31,115,262.792635
-3.757,123,263.590118
-3.714,111,266.376583
-3.711,134,267.246386
-3.533,137,268.141969
-2.805,105,268.846519
-3.371,99,271.592512
-3.44,130,272.753871
-2.54,110,273.766372
-3.318,112,274.588869
-3.884,131,275.48017
2.087426
-3.606,109,273.079103
-3.728,137,274.308664
-3.798,117,275.113611
