#{"t_start": 1768076333.7328625, "env_id": "None"}
r,l,t-1.1785,105,1.368784
--0.7345,110,2.46232-1.-1.368,74,2.96705-1--1.58,93,3.581391-1-1.2655,117,4.3756--1.-0.8975,89,7.0336-1.1-1.5435,113,7.813-0.85-1.708,74,8.3117-1.3-1.9185,78,8.8195-1.0-1.008,94,9.4504-1.-1.5395,84,10.010--1.4-1.423,62,12.6000--1.-1.55,90,13.517057-1-1.7155,83,14.2932-1-1-1.197,103,15.091117-1-1.1765,84,15.65512-0.-1.077,91,16.2913-1.1-0.8795,97,18.96267-1.-1.2755,84,19.5043-1.3-1.513,94,20.09865-1-0.917,86,20.679276
-1.2085,85,21.22985
--1.0965,88,23.875206
-1.354,88,24.434737
-1.095,106,25.369521
-0.3425,129,26.556306
-1.33,79,27.154684
-1.179,121,29.974342
-0.133,114,30.703402
-0.562,78,31.213723
-0.9565,96,31.83376
-1.201,76,32.313682
-1.1925,91,32.898499
-0.115,132,35.790632
0.0015,133,36.642582
-0.783,111,37.569068
-1.489,85,38.314443
0.126,132,41.459917
-0.069,122,42.237539
-1.452,89,42.794536
0.403,112,43.548948
0.221,161,46.656325
-0.25,106,47.33543
-0.363,125,48.133458
-0.6035,109,48.841987
-0.7645,0.595,162,49.5-0.7295-0.106,108,52.67-0.242-0.6185,104,53.30.157,1-0.89,113,54.0-0.6745-0.897,106,54.7-1.114,-1.0795,105,55-1.1905,7-0.6355,110,50.586,163,1.5465,242,59.729937
-0.5385,108,60.414114
0.037,119,63.730667
-0.087,1271.5625,225,6-1.0915,931.832,181,66.304412
-0.756,105,6-0.5725,100.811,180,70.228507
0.005,120,70.997938
0.354,129,71.822387
-0.3955,109,74.934453
0.863,156,76.141891
-0.514,116,76.903039
-0.401,120,77.660907
0.7445,163,80.734461
1.7825,214,82.096107
-0.549,114,82.810702
1.391,189,86.290979
1.0885,200,88.005492
0.711,179,89.171058
-0.219,104,91.849979
-0.028,120,92.602634
0.569,146,93.535935
2.0085,232,97.012132
1.912,218,98.657263
3.211,266,102.771382
0.3155,140,103.680246
1.873,189,104.88499
0.171,121,105.647647
0.3725,131,108.53961
-0.2545,118,109.287991
3.2205,282,111.540655
3.982,324,115.841377
4.403,329,120.01316
4.264,322,122.063085
-0.4455,92,125.255303
0.0175,116,126.002982
1.97,177,127.127945
2.3675,195,128.356717
1.6705,201,131.733857
0.529,129,132.541245
2.128,226,136.619643
3.011,231,138.092556
3.968,333,142.291027
1.1295,165,143.339623
2.375,242,144.881892
2.3985,216,148.952698
4.67,355,153.262655
3.515,263,154.940386
-0.1,114,155.694913
-0.7095,102,158.425165
1.9645,221,160.37096
4.728,314,164.58852
0.7965,126,165.381676
0.5595,143,166.286488
0.3455,137,167.148319
1.4825,211,170.541763
1.571,217,172.35587
3.2435,272,176.401902
0.143,126,177.19682
-0.409,89,177.767517
4.035,334,181.948216
3.556,294,184.137724
-0.8115,99,187.149507
1.544,167,188.206602
2.915,234,189.690277
0.8595,169,192.855443
2.494,196,194.13632
1.628,208,195.567423
0.563,163,199.086063
1.606,186,200.283137
1.0125,134,201.150649
3.6665,256,204.882615
4.237,295,206.78342
2.213,245,210.905928
3.638,310,214.919689
0.7335,152,215.906208
2.916,212,217.267313
1.4295,135,220.375798
0.662,130,221.54923
0.666,134,222.482872
0.3855,144,223.398787
0.61,121,226.235285
2.657,250,227.825937
-0.0745,123,228.61907
1.2605,164,231.771259
2.204,236,233.928689
2.809,227,237.445026
2.58,206,238.763939
1.5135,176,239.882461
4.427,320,243.894584
2.3255,209,245.711241
4.732,318,249.955853
3.2845,224,251.381216
5.081,304,255.407159
3.521,269,257.494573
3.879,277,261.560294
2.485,243,263.089687
2.583,242,266.691612
3.244,256,268.340327
5.656,354,273.092306
211
3.494,242,267.602609
5.209,323,272.161509
5,270.937866
2.7625,184,272.087267
